Measure,Location,Indicator,Time,Indicator_Status,Indicator_Value,Amount,Unemployment_Rate
Earnings,Prince Georges WIA,Maryland Average Earnings by Industry,2015Q1,72,Accommodation and Food Services,1805
Earnings,Prince Georges WIA,Maryland Average Earnings by Industry,2016Q1,72,Accommodation and Food Services,1848
Earnings,Prince Georges WIA,Maryland Average Earnings by Industry,2017Q1,72,Accommodation and Food Services,2374
Earnings,Prince Georges WIA,Maryland Average Earnings by Industry,2018Q1,72,Accommodation and Food Services,2379
Earnings,Prince Georges WIA,Maryland Average Earnings by Industry,2019Q1,72,Accommodation and Food Services,2388
Earnings,Prince Georges WIA,Maryland Average Earnings by Industry,2021Q1,72,Accommodation and Food Services,2160
Earnings,Prince Georges WIA,Maryland Average Earnings by Industry,2020Q1,72,Accommodation and Food Services,2542
Earnings,Prince Georges WIA,Maryland Average Earnings by Industry,2022Q1,72,Accommodation and Food Services,2541
Earnings,Prince Georges WIA,Maryland Average Earnings by Industry,2015Q2,72,Accommodation and Food Services,1942
Earnings,Prince Georges WIA,Maryland Average Earnings by Industry,2016Q2,72,Accommodation and Food Services,1984
Earnings,Prince Georges WIA,Maryland Average Earnings by Industry,2018Q2,72,Accommodation and Food Services,2316
Earnings,Prince Georges WIA,Maryland Average Earnings by Industry,2020Q2,72,Accommodation and Food Services,1594
Earnings,Prince Georges WIA,Maryland Average Earnings by Industry,2021Q2,72,Accommodation and Food Services,2515
Earnings,Prince Georges WIA,Maryland Average Earnings by Industry,2015Q3,72,Accommodation and Food Services,1912
Earnings,Prince Georges WIA,Maryland Average Earnings by Industry,2016Q3,72,Accommodation and Food Services,2031
Earnings,Prince Georges WIA,Maryland Average Earnings by Industry,2018Q3,72,Accommodation and Food Services,2387
Earnings,Prince Georges WIA,Maryland Average Earnings by Industry,2017Q2,72,Accommodation and Food Services,2286
Earnings,Prince Georges WIA,Maryland Average Earnings by Industry,2019Q2,72,Accommodation and Food Services,2426
Earnings,Prince Georges WIA,Maryland Average Earnings by Industry,2019Q3,72,Accommodation and Food Services,2458
Earnings,Prince Georges WIA,Maryland Average Earnings by Industry,2022Q2,72,Accommodation and Food Services,2789
Earnings,Prince Georges WIA,Maryland Average Earnings by Industry,2017Q3,72,Accommodation and Food Services,2330
Earnings,Prince Georges WIA,Maryland Average Earnings by Industry,2020Q3,72,Accommodation and Food Services,2214
Earnings,Prince Georges WIA,Maryland Average Earnings by Industry,2021Q3,72,Accommodation and Food Services,2743
Earnings,Prince Georges WIA,Maryland Average Earnings by Industry,2017Q4,72,Accommodation and Food Services,2272
Earnings,Prince Georges WIA,Maryland Average Earnings by Industry,2016Q4,72,Accommodation and Food Services,2010
Earnings,Prince Georges WIA,Maryland Average Earnings by Industry,2015Q4,72,Accommodation and Food Services,2006
Earnings,Prince Georges WIA,Maryland Average Earnings by Industry,2022Q3,72,Accommodation and Food Services,2953
Earnings,Prince Georges WIA,Maryland Average Earnings by Industry,2018Q4,72,Accommodation and Food Services,2369
Earnings,Prince Georges WIA,Maryland Average Earnings by Industry,2019Q4,72,Accommodation and Food Services,2478
Earnings,Prince Georges WIA,Maryland Average Earnings by Industry,2021Q4,72,Accommodation and Food Services,2825
Earnings,Prince Georges WIA,Maryland Average Earnings by Industry,2020Q4,72,Accommodation and Food Services,2475
Job Change,Prince Georges WIA,Maryland Job Net Change by Industry,2015Q1,72,Accommodation and Food Services,248
Earnings,Prince Georges WIA,Maryland Average Earnings by Industry,2022Q4,72,Accommodation and Food Services,2986
Job Change,Prince Georges WIA,Maryland Job Net Change by Industry,2016Q1,72,Accommodation and Food Services,50
Job Change,Prince Georges WIA,Maryland Job Net Change by Industry,2017Q1,72,Accommodation and Food Services,701
Job Change,Prince Georges WIA,Maryland Job Net Change by Industry,2018Q1,72,Accommodation and Food Services,313
Job Change,Prince Georges WIA,Maryland Job Net Change by Industry,2019Q1,72,Accommodation and Food Services,74
Job Change,Prince Georges WIA,Maryland Job Net Change by Industry,2020Q1,72,Accommodation and Food Services,-7824
Job Change,Prince Georges WIA,Maryland Job Net Change by Industry,2021Q1,72,Accommodation and Food Services,390
Job Change,Prince Georges WIA,Maryland Job Net Change by Industry,2022Q1,72,Accommodation and Food Services,261
Job Change,Prince Georges WIA,Maryland Job Net Change by Industry,2015Q2,72,Accommodation and Food Services,1360
Job Change,Prince Georges WIA,Maryland Job Net Change by Industry,2018Q2,72,Accommodation and Food Services,847
Job Change,Prince Georges WIA,Maryland Job Net Change by Industry,2019Q2,72,Accommodation and Food Services,911
Job Change,Prince Georges WIA,Maryland Job Net Change by Industry,2017Q2,72,Accommodation and Food Services,844
Job Change,Prince Georges WIA,Maryland Job Net Change by Industry,2016Q2,72,Accommodation and Food Services,986
Job Change,Prince Georges WIA,Maryland Job Net Change by Industry,2020Q2,72,Accommodation and Food Services,-3037
Job Change,Prince Georges WIA,Maryland Job Net Change by Industry,2021Q2,72,Accommodation and Food Services,3518
Job Change,Prince Georges WIA,Maryland Job Net Change by Industry,2022Q2,72,Accommodation and Food Services,734
Job Change,Prince Georges WIA,Maryland Job Net Change by Industry,2015Q3,72,Accommodation and Food Services,-268
Job Change,Prince Georges WIA,Maryland Job Net Change by Industry,2017Q3,72,Accommodation and Food Services,-537
Job Change,Prince Georges WIA,Maryland Job Net Change by Industry,2016Q3,72,Accommodation and Food Services,-640
Job Change,Prince Georges WIA,Maryland Job Net Change by Industry,2018Q3,72,Accommodation and Food Services,-463
Job Change,Prince Georges WIA,Maryland Job Net Change by Industry,2019Q3,72,Accommodation and Food Services,-1062
Job Change,Prince Georges WIA,Maryland Job Net Change by Industry,2020Q3,72,Accommodation and Food Services,2195
Job Change,Prince Georges WIA,Maryland Job Net Change by Industry,2021Q3,72,Accommodation and Food Services,1328
Job Change,Prince Georges WIA,Maryland Job Net Change by Industry,2016Q4,72,Accommodation and Food Services,-42
Job Change,Prince Georges WIA,Maryland Job Net Change by Industry,2022Q3,72,Accommodation and Food Services,-47
Job Change,Prince Georges WIA,Maryland Job Net Change by Industry,2015Q4,72,Accommodation and Food Services,-175
Job Change,Prince Georges WIA,Maryland Job Net Change by Industry,2017Q4,72,Accommodation and Food Services,-506
Job Change,Prince Georges WIA,Maryland Job Net Change by Industry,2018Q4,72,Accommodation and Food Services,-262
Job Change,Prince Georges WIA,Maryland Job Net Change by Industry,2020Q4,72,Accommodation and Food Services,-645
Job Change,Prince Georges WIA,Maryland Job Net Change by Industry,2019Q4,72,Accommodation and Food Services,156
Job Change,Prince Georges WIA,Maryland Job Net Change by Industry,2022Q4,72,Accommodation and Food Services,-353
Job Change,Prince Georges WIA,Maryland Job Net Change by Industry,2021Q4,72,Accommodation and Food Services,123
New Hires,Prince Georges WIA,Maryland New Hires by Industry,2016Q1,72,Accommodation and Food Services,5756
New Hires,Prince Georges WIA,Maryland New Hires by Industry,2017Q1,72,Accommodation and Food Services,7682
New Hires,Prince Georges WIA,Maryland New Hires by Industry,2019Q1,72,Accommodation and Food Services,6550
New Hires,Prince Georges WIA,Maryland New Hires by Industry,2015Q1,72,Accommodation and Food Services,5505
New Hires,Prince Georges WIA,Maryland New Hires by Industry,2020Q1,72,Accommodation and Food Services,7032
New Hires,Prince Georges WIA,Maryland New Hires by Industry,2018Q1,72,Accommodation and Food Services,6740
New Hires,Prince Georges WIA,Maryland New Hires by Industry,2021Q1,72,Accommodation and Food Services,4504
New Hires,Prince Georges WIA,Maryland New Hires by Industry,2022Q1,72,Accommodation and Food Services,6572
New Hires,Prince Georges WIA,Maryland New Hires by Industry,2016Q2,72,Accommodation and Food Services,7522
New Hires,Prince Georges WIA,Maryland New Hires by Industry,2015Q2,72,Accommodation and Food Services,8050
New Hires,Prince Georges WIA,Maryland New Hires by Industry,2019Q2,72,Accommodation and Food Services,8844
New Hires,Prince Georges WIA,Maryland New Hires by Industry,2017Q2,72,Accommodation and Food Services,8353
New Hires,Prince Georges WIA,Maryland New Hires by Industry,2018Q2,72,Accommodation and Food Services,8426
New Hires,Prince Georges WIA,Maryland New Hires by Industry,2021Q2,72,Accommodation and Food Services,10273
New Hires,Prince Georges WIA,Maryland New Hires by Industry,2020Q2,72,Accommodation and Food Services,3538
New Hires,Prince Georges WIA,Maryland New Hires by Industry,2022Q2,72,Accommodation and Food Services,8527
New Hires,Prince Georges WIA,Maryland New Hires by Industry,2017Q3,72,Accommodation and Food Services,8649
New Hires,Prince Georges WIA,Maryland New Hires by Industry,2015Q3,72,Accommodation and Food Services,7411
New Hires,Prince Georges WIA,Maryland New Hires by Industry,2016Q3,72,Accommodation and Food Services,7697
