Location,Time,Indicator,Indicator_Status,Indicator_Value,Employment_Status,QWI-Status,Amount,Unemployment_Rate
Maryland,2023Q2,Maryland Average Monthly Earnings by Age,A01,14-18,,Earnings,TBD,
Maryland,2023Q2,Maryland Average Monthly Earnings by Age,A02,19-21,,Earnings,TBD,
Maryland,2023Q2,Maryland Average Monthly Earnings by Age,A03,22-24,,Earnings,TBD,
Maryland,2023Q2,Maryland Average Monthly Earnings by Age,A04,25-34,,Earnings,TBD,
Maryland,2023Q2,Maryland Average Monthly Earnings by Age,A05,35-44,,Earnings,TBD,
Maryland,2023Q2,Maryland Average Monthly Earnings by Age,A06,45-54,,Earnings,TBD,
Maryland,2023Q2,Maryland Average Monthly Earnings by Age,A07,55-64,,Earnings,TBD,
Maryland,2023Q2,Maryland Average Monthly Earnings by Gender,1,Male,,Earnings,TBD,
Maryland,2023Q2,Maryland Average Monthly Earnings by Gender,2,Female,,Earnings,TBD,
Maryland,2023Q2,Maryland Average Monthly Earnings by Age,A08,65-99,,Earnings,TBD,
Maryland,2023Q2,Maryland Turnover Rate by Education,E5,Educational attainment not available (workers aged 24 or younger),,Turnover,TBD,
Maryland,2023Q2,Maryland Turnover Rate by Industry,72,Accommodation and Food Services,,Turnover Rate,TBD
Maryland,2023Q2,Maryland Turnover Rate by Industry,62,Health Care and Social Assistance,,Turnover Rate,TBD
Maryland,2023Q2,Maryland Turnover Rate by Industry,56,Administrative and Support and Waste Management and Remediation Services,,Turnover Rate,TBD
Maryland,2023Q2,Maryland Turnover Rate by Industry,11,"Agriculture, Forestry, Fishing and Hunting",,Turnover Rate,TBD
Maryland,2023Q2,Maryland Turnover Rate by Industry,71,"Arts, Entertainment, and Recreation",,Turnover Rate,TBD
Maryland,2023Q2,Maryland Turnover Rate by Industry,23,Construction,,Turnover Rate,TBD
Maryland,2023Q2,Maryland Turnover Rate by Industry,61,Educational Services,,Turnover Rate,TBD
Maryland,2023Q2,Maryland Turnover Rate by Industry,52,Finance and Insurance,,Turnover Rate,TBD
Maryland,2023Q2,Maryland Turnover Rate by Industry,51,Information,,Turnover Rate,TBD
Maryland,2023Q2,Maryland Turnover Rate by Industry,55,Management of Companies and Enterprises,,Turnover Rate,TBD
Maryland,2023Q2,Maryland Turnover Rate by Industry,31-33,Manufacturing,,Turnover Rate,TBD
Maryland,2023Q2,Maryland Turnover Rate by Industry,21,"Mining, Quarrying, and Oil and Gas Extraction",,Turnover Rate,TBD
Maryland,2023Q2,Maryland Turnover Rate by Industry,81,Other Services (except Public Administration),,Turnover Rate,TBD
Maryland,2023Q2,Maryland Turnover Rate by Industry,54,"Professional, Scientific, and Technical Services",,Turnover Rate,TBD
Maryland,2023Q2,Maryland Turnover Rate by Industry,92,Public Administration,,Turnover Rate,TBD
Maryland,2023Q2,Maryland Turnover Rate by Industry,53,Real Estate and Rental and Leasing,,Turnover Rate,TBD
Maryland,2023Q2,Maryland Turnover Rate by Industry,44-45,Retail Trade,,Turnover Rate,TBD
Maryland,2023Q2,Maryland Turnover Rate by Industry,48-49,Transportation and Warehousing,,Turnover Rate,TBD
Maryland,2023Q2,Maryland Turnover Rate by Industry,22,Utilities,,Turnover Rate,TBD
Maryland,2023Q2,Maryland Turnover Rate by Industry,42,Wholesale Trade,,Turnover Rate,TBD
Maryland,2023Q2,Maryland Turnover Rate by Education,E1,Less than High school,,Turnover,TBD,
Maryland,2023Q2,Maryland Turnover Rate by Education,E2,"High school or equivalent, no college",,Turnover,TBD,
Maryland,2023Q2,Maryland Turnover Rate by Education,E3,Some college or Associate degree,,Turnover,TBD,
Maryland,2023Q2,Maryland Turnover Rate by Education,E4,Bachelor's degree or advanced degree,,Turnover,TBD,
Maryland,2023Q2,Maryland Turnover Rate by Gender,1,Male,,Turnover,TBD,
Maryland,2023Q2,Maryland Turnover Rate by Gender,2,Female,,Turnover,TBD,
Maryland,2023Q1,Maryland Turnover Rate by Industry,72,Accommodation and Food Services,,Turnover Rate,TBD
Maryland,2023Q1,Maryland Turnover Rate by Industry,62,Health Care and Social Assistance,,Turnover Rate,TBD
Maryland,2023Q1,Maryland Turnover Rate by Industry,56,Administrative and Support and Waste Management and Remediation Services,,Turnover Rate,TBD
Maryland,2023Q1,Maryland Turnover Rate by Industry,11,"Agriculture, Forestry, Fishing and Hunting",,Turnover Rate,TBD
