2015Q3,Percent of Workers in TANF (%),,,"Allegany County, Maryland",0.351778651,0.00352,,,,,
2015Q4,Percent of Workers in TANF (%),,,"Allegany County, Maryland",0.312511373,0.00313,,,,,
2016Q1,Percent of Workers in TANF (%),,,"Allegany County, Maryland",0.276741668,0.00277,,,,,
2016Q2,Percent of Workers in TANF (%),,,"Allegany County, Maryland",0.232600603,0.00233,,,,,
2016Q3,Percent of Workers in TANF (%),,,"Allegany County, Maryland",0.236016588,0.00236,,,,,
2016Q4,Percent of Workers in TANF (%),,,"Allegany County, Maryland",0.267978441,0.00268,,,,,
2017Q1,Percent of Workers in TANF (%),,,"Allegany County, Maryland",0.138054318,0.00138,,,,,
2017Q2,Percent of Workers in TANF (%),,,"Allegany County, Maryland",0.168648866,0.00169,,,,,
2017Q3,Percent of Workers in TANF (%),,,"Allegany County, Maryland",0.177476965,0.00177,,,,,
2017Q4,Percent of Workers in TANF (%),,,"Allegany County, Maryland",0.169052744,0.00169,,,,,
2018Q1,Percent of Workers in TANF (%),,,"Allegany County, Maryland",0.175709662,0.00176,,,,,
2018Q2,Percent of Workers in TANF (%),,,"Allegany County, Maryland",0.196937769,0.00197,,,,,
2018Q3,Percent of Workers in TANF (%),,,"Allegany County, Maryland",0.217230498,0.00217,,,,,
2018Q4,Percent of Workers in TANF (%),,,"Allegany County, Maryland",0.178810091,0.00179,,,,,
2019Q1,Percent of Workers in TANF (%),,,"Allegany County, Maryland",0.162427753,0.00162,,,,,
2019Q2,Percent of Workers in TANF (%),,,"Allegany County, Maryland",0.236252894,0.00236,,,,,
2019Q3,Percent of Workers in TANF (%),,,"Allegany County, Maryland",0.196820056,0.00197,,,,,
2019Q4,Percent of Workers in TANF (%),,,"Allegany County, Maryland",0.161098539,0.00161,,,,,
2020Q1,Percent of Workers in TANF (%),,,"Allegany County, Maryland",0.167813719,0.00168,,,,,
2020Q2,Percent of Workers in TANF (%),,,"Allegany County, Maryland",0.220937331,0.00221,,,,,
2020Q3,Percent of Workers in TANF (%),,,"Allegany County, Maryland",0.233418961,0.00233,,,,,
2020Q4,Percent of Workers in TANF (%),,,"Allegany County, Maryland",0.326564709,0.00327,,,,,
2021Q1,Percent of Workers in TANF (%),,,"Allegany County, Maryland",0.260145896,0.00260,,,,,
2021Q2,Percent of Workers in TANF (%),,,"Allegany County, Maryland",0.349408368,0.00349,,,,,
2021Q3,Percent of Workers in TANF (%),,,"Allegany County, Maryland",0.4056792,0.00406,,,,,
2021Q4,Percent of Workers in TANF (%),,,"Allegany County, Maryland",0.543987866,0.00544,,,,,
2022Q1,Percent of Workers in TANF (%),,,"Allegany County, Maryland",0.519582208,0.00520,,,,,
2022Q2,Percent of Workers in TANF (%),,,"Allegany County, Maryland",0.527193506,0.00527,,,,,
2022Q3,Percent of Workers in TANF (%),,,"Allegany County, Maryland",0.659483821,0.00659,,,,,
2022Q4,Percent of Workers in TANF (%),,,"Allegany County, Maryland",0.628332952,0.00628,,,,,
2015Q3,Percent of Workers in TANF (%),,,"Anne Arundel County, Maryland",1.239042584,0.01239,,,,,
2015Q4,Percent of Workers in TANF (%),,,"Anne Arundel County, Maryland",1.43201414,0.01432,,,,,
2016Q1,Percent of Workers in TANF (%),,,"Anne Arundel County, Maryland",1.038783941,0.01039,,,,,
2016Q2,Percent of Workers in TANF (%),,,"Anne Arundel County, Maryland",1.031196005,0.01031,,,,,
2016Q3,Percent of Workers in TANF (%),,,"Anne Arundel County, Maryland",1.081108243,0.01081,,,,,
2016Q4,Percent of Workers in TANF (%),,,"Anne Arundel County, Maryland",1.083564999,0.01084,,,,,
2017Q1,Percent of Workers in TANF (%),,,"Anne Arundel County, Maryland",0.915102906,0.00915,,,,,
2017Q2,Percent of Workers in TANF (%),,,"Anne Arundel County, Maryland",1.008060266,0.01008,,,,,
2017Q3,Percent of Workers in TANF (%),,,"Anne Arundel County, Maryland",0.985563571,0.00986,,,,,
2017Q4,Percent of Workers in TANF (%),,,"Anne Arundel County, Maryland",1.187211314,0.01187,,,,,
2018Q1,Percent of Workers in TANF (%),,,"Anne Arundel County, Maryland",0.97226013,0.00972,,,,,
2018Q2,Percent of Workers in TANF (%),,,"Anne Arundel County, Maryland",0.840772784,0.00841,,,,,
2018Q3,Percent of Workers in TANF (%),,,"Anne Arundel County, Maryland",0.838959166,0.00839,,,,,
2018Q4,Percent of Workers in TANF (%),,,"Anne Arundel County, Maryland",0.947313036,0.00947,,,,,
2019Q1,Percent of Workers in TANF (%),,,"Anne Arundel County, Maryland",0.819873422,0.00820,,,,,
2019Q2,Percent of Workers in TANF (%),,,"Anne Arundel County, Maryland",0.825010106,0.00825,,,,,
2019Q3,Percent of Workers in TANF (%),,,"Anne Arundel County, Maryland",0.846697601,0.00847,,,,,
2019Q4,Percent of Workers in TANF (%),,,"Anne Arundel County, Maryland",0.912891719,0.00913,,,,,
2020Q1,Percent of Workers in TANF (%),,,"Anne Arundel County, Maryland",0.987369091,0.00987,,,,,
2020Q2,Percent of Workers in TANF (%),,,"Anne Arundel County, Maryland",1.448366946,0.01448,,,,,
2020Q3,Percent of Workers in TANF (%),,,"Anne Arundel County, Maryland",1.478320088,0.01478,,,,,
2020Q4,Percent of Workers in TANF (%),,,"Anne Arundel County, Maryland",1.37882877,0.01379,,,,,
2021Q1,Percent of Workers in TANF (%),,,"Anne Arundel County, Maryland",1.43699638,0.01437,,,,,
2021Q2,Percent of Workers in TANF (%),,,"Anne Arundel County, Maryland",1.659689749,0.01660,,,,,
2021Q3,Percent of Workers in TANF (%),,,"Anne Arundel County, Maryland",1.54544457,0.01545,,,,,
