Time,Indicator,Employment_Status,Indicator_Status,Location,Amount,Unemployment_Rate,,,,
2016Q3,Percent of Workforce Service participants in TANF (%),,,"Allegany County, Maryland",0.917431192660551,0.00917431192660551,,,,
2017Q1,Percent of Workforce Service participants in TANF (%),,,"Allegany County, Maryland",1.4760147601476,0.014760147601476,,,,
2017Q2,Percent of Workforce Service participants in TANF (%),,,"Allegany County, Maryland",0.711743772241993,0.00711743772241993,,,,
2017Q3,Percent of Workforce Service participants in TANF (%),,,"Allegany County, Maryland",0.467289719626168,0.00467289719626168,,,,
2017Q4,Percent of Workforce Service participants in TANF (%),,,"Allegany County, Maryland",1.29032258064516,0.0129032258064516,,,,
2018Q1,Percent of Workforce Service participants in TANF (%),,,"Allegany County, Maryland",0.909090909090909,0.00909090909090909,,,,
2018Q2,Percent of Workforce Service participants in TANF (%),,,"Allegany County, Maryland",0.645161290322581,0.00645161290322581,,,,
2018Q4,Percent of Workforce Service participants in TANF (%),,,"Allegany County, Maryland",2.22222222222222,0.0222222222222222,,,,
2019Q2,Percent of Workforce Service participants in TANF (%),,,"Allegany County, Maryland",0.687285223367698,0.00687285223367698,,,,
2019Q3,Percent of Workforce Service participants in TANF (%),,,"Allegany County, Maryland",0.778210116731518,0.00778210116731518,,,,
2020Q1,Percent of Workforce Service participants in TANF (%),,,"Allegany County, Maryland",0.128205128205128,0.00128205128205128,,,,
2020Q2,Percent of Workforce Service participants in TANF (%),,,"Allegany County, Maryland",0.557103064066852,0.00557103064066852,,,,
2021Q1,Percent of Workforce Service participants in TANF (%),,,"Allegany County, Maryland",0.485436893203883,0.00485436893203883,,,,
2021Q2,Percent of Workforce Service participants in TANF (%),,,"Allegany County, Maryland",1.41509433962264,0.0141509433962264,,,,
2021Q3,Percent of Workforce Service participants in TANF (%),,,"Allegany County, Maryland",0.613496932515337,0.00613496932515337,,,,
2021Q4,Percent of Workforce Service participants in TANF (%),,,"Allegany County, Maryland",1.2987012987013,0.012987012987013,,,,
2022Q1,Percent of Workforce Service participants in TANF (%),,,"Allegany County, Maryland",0.452488687782805,0.00452488687782805,,,,
2022Q2,Percent of Workforce Service participants in TANF (%),,,"Allegany County, Maryland",1.25,0.0125,,,,
2022Q3,Percent of Workforce Service participants in TANF (%),,,"Allegany County, Maryland",2.76497695852535,0.0276497695852535,,,,
2022Q4,Percent of Workforce Service participants in TANF (%),,,"Allegany County, Maryland",4.04411764705882,0.0404411764705882,,,,
